id,label,label_str,source,category,duplicate_group,fold
article_0011,0,Non-clickbait,VnExpress,Tin tức tổng hợp,5,0
article_0013,0,Non-clickbait,VnExpress,Tin tức tổng hợp,7,0
article_0021,0,Non-clickbait,VnExpress,Tin tức tổng hợp,15,0
article_0023,0,Non-clickbait,VnExpress,Tin tức tổng hợp,17,0
article_0024,0,Non-clickbait,VnExpress,Tin tức tổng hợp,18,0
article_0028,0,Non-clickbait,VnExpress,Tin tức tổng hợp,22,0
article_0032,0,Non-clickbait,VnExpress,Tin tức tổng hợp,26,0
article_0036,0,Non-clickbait,VnExpress,Tin tức tổng hợp,30,0
article_0042,0,Non-clickbait,VnExpress,Tin tức tổng hợp,36,0
article_0043,0,Non-clickbait,VnExpress,Tin tức tổng hợp,37,0
article_0047,0,Non-clickbait,VnExpress,Tin tức tổng hợp,41,0
article_0057,0,Non-clickbait,Tuổi Trẻ,Kinh doanh & Kinh tế,51,0
article_0061,1,Clickbait,Tuổi Trẻ,Other,54,0
article_0072,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,63,0
article_0076,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,67,0
article_0078,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,69,0
article_0080,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,71,0
article_0088,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,79,0
article_0095,0,Non-clickbait,Thanh Niên,Chính trị & An ninh,85,0
article_0102,0,Non-clickbait,Thanh Niên,Other,92,0
article_0109,0,Non-clickbait,VietNamNet,Chính trị & An ninh,99,0
article_0113,0,Non-clickbait,VietNamNet,Chính trị & An ninh,103,0
article_0118,0,Non-clickbait,VietNamNet,Chính trị & An ninh,107,0
article_0131,0,Non-clickbait,VietNamNet,Chính trị & An ninh,120,0
article_0132,0,Non-clickbait,VietNamNet,Chính trị & An ninh,121,0
article_0141,1,Clickbait,Kênh14,Sức khỏe & Đời sống,2506,0
article_0143,1,Clickbait,Kênh14,Sức khỏe & Đời sống,2508,0
article_0149,1,Clickbait,SaoStar,Giải trí & Showbiz,2514,0
article_0153,1,Clickbait,SaoStar,Giải trí & Showbiz,131,0
article_0155,1,Clickbait,SaoStar,Giải trí & Showbiz,133,0
article_0160,1,Clickbait,SaoStar,Giải trí & Showbiz,2516,0
article_0162,1,Clickbait,SaoStar,Giải trí & Showbiz,137,0
article_0164,1,Clickbait,SaoStar,Giải trí & Showbiz,139,0
article_0167,1,Clickbait,SaoStar,Giải trí & Showbiz,142,0
article_0170,1,Clickbait,SaoStar,Giải trí & Showbiz,144,0
article_0173,1,Clickbait,SaoStar,Giải trí & Showbiz,147,0
article_0175,1,Clickbait,SaoStar,Giải trí & Showbiz,149,0
article_0181,0,Non-clickbait,24h,Tin tức tổng hợp,155,0
article_0183,0,Non-clickbait,24h,Tin tức tổng hợp,157,0
article_0184,0,Non-clickbait,24h,Tin tức tổng hợp,158,0
article_0188,0,Non-clickbait,24h,Tin tức tổng hợp,161,0
article_0189,0,Non-clickbait,24h,Tin tức tổng hợp,162,0
article_0192,0,Non-clickbait,24h,Tin tức tổng hợp,165,0
article_0196,0,Non-clickbait,24h,Tin tức tổng hợp,167,0
article_0199,0,Non-clickbait,24h,Tin tức tổng hợp,169,0
article_0209,0,Non-clickbait,24h,Tin tức tổng hợp,179,0
article_0211,0,Non-clickbait,24h,Tin tức tổng hợp,181,0
article_0212,1,Clickbait,24h,Tin tức tổng hợp,182,0
article_0213,1,Clickbait,24h,Tin tức tổng hợp,2520,0
article_0215,0,Non-clickbait,24h,Tin tức tổng hợp,2522,0
article_0220,0,Non-clickbait,Báo Mới,Thể thao,186,0
article_0224,1,Clickbait,Báo Mới,Thể thao,2527,0
article_0230,0,Non-clickbait,Báo Mới,Thể thao,191,0
article_0243,0,Non-clickbait,Báo Mới,Thể thao,196,0
article_0246,0,Non-clickbait,Báo Mới,Thể thao,198,0
article_0251,0,Non-clickbait,Báo Mới,Thể thao,2538,0
article_0273,1,Clickbait,Báo Mới,Thể thao,222,0
article_0276,0,Non-clickbait,VnExpress,Quốc tế,2541,0
article_0277,0,Non-clickbait,VnExpress,Quốc tế,225,0
article_0279,0,Non-clickbait,VnExpress,Quốc tế,226,0
article_0284,0,Non-clickbait,VnExpress,Quốc tế,229,0
article_0286,0,Non-clickbait,VnExpress,Quốc tế,231,0
article_0300,0,Non-clickbait,VnExpress,Quốc tế,244,0
article_0302,0,Non-clickbait,VnExpress,Quốc tế,2544,0
article_0304,1,Clickbait,VnExpress,Quốc tế,2546,0
article_0308,1,Clickbait,VnExpress,Quốc tế,2549,0
article_0310,0,Non-clickbait,VnExpress,Quốc tế,247,0
article_0314,0,Non-clickbait,VnExpress,Quốc tế,251,0
article_0318,0,Non-clickbait,VnExpress,Quốc tế,255,0
article_0320,0,Non-clickbait,VnExpress,Quốc tế,257,0
article_0326,0,Non-clickbait,Tuổi Trẻ,Quốc tế,263,0
article_0331,0,Non-clickbait,Tuổi Trẻ,Quốc tế,267,0
article_0339,0,Non-clickbait,Tuổi Trẻ,Other,274,0
article_0341,0,Non-clickbait,Tuổi Trẻ,Quốc tế,276,0
article_0354,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,287,0
article_0356,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,289,0
article_0359,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,292,0
article_0362,0,Non-clickbait,Thanh Niên,Tin tức tổng hợp,295,0
