id,title,lead_paragraph,source,category,y_true,y_pred,y_score,confidence_in_prediction,error_type,suggested_priority,taxonomy_label,annotator_note,is_case_study_candidate
article_0346,Nước thải của Khu du lịch Thiên Cầm 'tra tấn' người dân,"Suốt nhiều tháng qua, người dân ở tổ dân phố Trần Phú (TT.Thiên Cầm, H.Cẩm Xuyên, Hà Tĩnh) bị 'tra tấn' bởi mùi hôi từ nước thải của Khu du lịch Thiên Cầm, gây ảnh hưởng đến cuộc sống.",Thanh Niên,Other,1,0,0.2493001553323934,0.7506998446676065,FN,1,,,
article_1074,Mở lối ký ức bằng tư duy hôm nay - Báo Văn hóa,"Giữa những nếp nhà xưa cũ và khung cảnh bình dị của làng Lai Xá, nơi từng vang bóng với nghề ảnh truyền thống, có một bảo tàng nhỏ lặng lẽ kể câu chuyện làng nghề qua từng khung hình, từng hiện vật - như một lời nhắc nhở về giá trị của văn hóa và di sản. Thế nhưng, sau những năm tháng bị lãng quên, Bảo tàng Nhiếp ảnh Lai Xá đang đứng trước ngã rẽ: Tiếp tục im lìm hay được hồi sinh bởi bàn tay và trái tim của những người trẻ yêu văn hóa?",Báo Mới,Văn hóa & Nghệ thuật,1,0,0.2535976836040733,0.7464023163959267,FN,2,,,
article_2245,"Đánh mẹ, tấn công lực lượng an ninh cơ sở khi được can ngăn","Cà MauBùi Minh Lợi, 30 tuổi, dùng dao đâm trọng thương tổ phó bảo vệ an ninh cơ sở thị trấn Nam Căn khi lực lượng này đến can ngăn anh ta đánh mẹ.",VnExpress,Other,1,0,0.2588374832959768,0.7411625167040232,FN,3,,,
article_3617,Liên danh Đèo Cả - Văn Phú đề xuất Hà Nội cho kiến tạo 'kỳ tích sông Hồng' - Báo Điện tử Tiếng nói Việt Nam,"Liên danh Đèo Cả - Văn Phú vừa được UBND TP. Hà Nội chấp thuận nghiên cứu đề xuất dự án 'Xây dựng Đại lộ và cảnh quan ven sông Hồng' theo phương thức đối tác đầu tư công – tư (PPP), hợp đồng xây dựng – chuyển giao (BT).",Báo Mới,Other,1,0,0.2620774783033665,0.7379225216966335,FN,4,,,
article_1190,Khi Gen Z dùng công nghệ lập trình nhịp sống số,"Gen Z không chỉ tiếp cận công nghệ mà còn thiết lập cách sống số của họ. Từ AI đến no-code, thế hệ này đang tạo ra những hệ sinh thái cá nhân tự động hóa.",Tuổi Trẻ,Công nghệ & Khoa học,1,0,0.265132252464473,0.734867747535527,FN,5,,,
article_0403,Kinh hoàng phát hiện bộ xương người trong bồn nước tại nhà dân,"Trong lúc sửa nhà, người thợ phát hiện bộ xương người trong bồn nước inox không sử dụng trên mái nhà một hộ dân ở TP Biên Hòa, Đồng Nai.",VietNamNet,Tin tức tổng hợp,1,0,0.2769949559636879,0.723005044036312,FN,6,,,
article_3340,"Du khách quốc tế kể chuyện 'vượt nắng, ngâm đá' ở giải chạy Quy Nhơn","Du khách từ châu Âu, Mỹ... kể lại trải nghiệm chạy bộ dưới thời tiết nhiệt đới khi tham gia giải VnExpress Marathon Quy Nhơn 2025 hôm 15/6.",VnExpress,Other,1,0,0.2796403318018829,0.720359668198117,FN,7,,,
article_1022,Từ bờ vực phá sản đến đế chế streaming lớn nhất Nhật Bản cạnh tranh Netflix,"Yasuhide Uno – người từng đối mặt với món nợ khổng lồ và thất bại cay đắng – đã vực dậy công ty gia đình để biến U-Next thành đối thủ lớn nhất của Netflix tại Nhật Bản. Giờ đây, ông đặt mục tiêu doanh thu 1.000 tỷ yên và tham vọng đưa công ty thành biểu tượng quốc gia.",24h,Kinh doanh & Kinh tế,1,0,0.2873167104876968,0.7126832895123032,FN,8,,,
article_0237,Khởi động chiến dịch bảo vệ ngôi vương - Báo Văn hóa,HLV Kim Sang-sik vừa lên danh sách tập trung 35 cầu thủ trong đợt hội quân của đội tuyển U22 Việt Nam để chuẩn bị cho giải U23 vô địch Đông Nam Á. Đây là sân chơi chính thức đầu tiên trong năm 2025 của U22 Việt Nam trước khi đội hướng đến hai mục tiêu quan trọng khác là vòng loại U23 châu Á 2026 và môn bóng đá nam SEA Games 33.,Báo Mới,Thể thao,1,0,0.299342656033869,0.700657343966131,FN,9,,,
article_0428,"Lại thêm vụ mất trắng 145 triệu đồng trong tài khoản: Bẫy cũ, nạn nhân mới","Sau một cuộc gọi bất thường, người đàn ông ở Hà Nội bị lừa 145 triệu đồng trong tài khoản.",SaoStar,Sức khỏe & Đời sống,1,0,0.3014895201005476,0.6985104798994524,FN,10,,,
