id,title,lead_paragraph,source,category,y_true,y_pred,y_score,confidence_in_prediction,error_type,case_group,why_selected,analysis_note
article_1480,Chuyên gia chỉ ra thực phẩm không nên ăn sống,"Một số thực phẩm sống chứa các hợp chất có hại mà cơ thể không thể tiêu hóa. Khi ăn sống ở lượng nhỏ có thể vô hại, nhưng nếu tiêu thụ chúng quá mức sẽ gây rối loạn nghiêm trọng dẫn đến ngộ độc.",Thanh Niên,Sức khỏe & Đời sống,0,1,0.874358251981257,0.874358251981257,FP,false_positive_high_confidence,High-confidence model error for qualitative analysis.,
article_2596,Hoa hậu Khánh Vân: Tôi được chồng yêu chiều nên làm vợ cũng thoải mái,"Dịp xuân Ất Tỵ, Hoa hậu Khánh Vân có những tiết lộ với Thanh Niên về cái tết đầu tiên sau khi kết hôn.",Thanh Niên,Other,0,1,0.8253700620757337,0.8253700620757337,FP,false_positive_high_confidence,High-confidence model error for qualitative analysis.,
article_1499,Alo bác sĩ nghe: Đau mỏi vai gáy khi ngủ dậy cảnh báo điều gì?,"'Tôi năm nay 55 tuổi, gần đây hay đau mỏi vai gáy, nhất là buổi sáng ngủ dậy. Liệu có phải dấu hiệu của thoái hóa đốt sống cổ không? Tôi nên khám và điều trị như thế nào?'. (M.Lộc, ở TP.HCM).",Thanh Niên,Other,0,1,0.8046873814161782,0.8046873814161782,FP,false_positive_high_confidence,High-confidence model error for qualitative analysis.,
article_2741,Không phải iPhone nào cũng được hưởng trọn tính năng iOS 26 - Báo VietnamNet,"Bên cạnh đổi mới giao diện, iOS 26 còn mang đến nhiều tính năng mới. Tuy nhiên, không phải iPhone nào cũng được hưởng trọn vẹn hệ điều hành này.",Báo Mới,Other,0,1,0.7754038197805136,0.7754038197805136,FP,false_positive_high_confidence,High-confidence model error for qualitative analysis.,
article_1400,Nên ăn và tránh gì trước khi chạy bộ?,"Người chạy bộ nên ăn trước khi chạy ít nhất 30 phút, chọn thực phẩm dễ tiêu hóa, cung cấp đủ carbohydrate, protein, chất béo lành mạnh.",VnExpress,Other,0,1,0.7740997316748603,0.7740997316748603,FP,false_positive_high_confidence,High-confidence model error for qualitative analysis.,
article_0346,Nước thải của Khu du lịch Thiên Cầm 'tra tấn' người dân,"Suốt nhiều tháng qua, người dân ở tổ dân phố Trần Phú (TT.Thiên Cầm, H.Cẩm Xuyên, Hà Tĩnh) bị 'tra tấn' bởi mùi hôi từ nước thải của Khu du lịch Thiên Cầm, gây ảnh hưởng đến cuộc sống.",Thanh Niên,Other,1,0,0.2493001553323934,0.7506998446676065,FN,false_negative_high_confidence,High-confidence model error for qualitative analysis.,
article_1074,Mở lối ký ức bằng tư duy hôm nay - Báo Văn hóa,"Giữa những nếp nhà xưa cũ và khung cảnh bình dị của làng Lai Xá, nơi từng vang bóng với nghề ảnh truyền thống, có một bảo tàng nhỏ lặng lẽ kể câu chuyện làng nghề qua từng khung hình, từng hiện vật - như một lời nhắc nhở về giá trị của văn hóa và di sản. Thế nhưng, sau những năm tháng bị lãng quên, Bảo tàng Nhiếp ảnh Lai Xá đang đứng trước ngã rẽ: Tiếp tục im lìm hay được hồi sinh bởi bàn tay và trái tim của những người trẻ yêu văn hóa?",Báo Mới,Văn hóa & Nghệ thuật,1,0,0.2535976836040733,0.7464023163959267,FN,false_negative_high_confidence,High-confidence model error for qualitative analysis.,
article_2245,"Đánh mẹ, tấn công lực lượng an ninh cơ sở khi được can ngăn","Cà MauBùi Minh Lợi, 30 tuổi, dùng dao đâm trọng thương tổ phó bảo vệ an ninh cơ sở thị trấn Nam Căn khi lực lượng này đến can ngăn anh ta đánh mẹ.",VnExpress,Other,1,0,0.2588374832959768,0.7411625167040232,FN,false_negative_high_confidence,High-confidence model error for qualitative analysis.,
article_3617,Liên danh Đèo Cả - Văn Phú đề xuất Hà Nội cho kiến tạo 'kỳ tích sông Hồng' - Báo Điện tử Tiếng nói Việt Nam,"Liên danh Đèo Cả - Văn Phú vừa được UBND TP. Hà Nội chấp thuận nghiên cứu đề xuất dự án 'Xây dựng Đại lộ và cảnh quan ven sông Hồng' theo phương thức đối tác đầu tư công – tư (PPP), hợp đồng xây dựng – chuyển giao (BT).",Báo Mới,Other,1,0,0.2620774783033665,0.7379225216966335,FN,false_negative_high_confidence,High-confidence model error for qualitative analysis.,
article_1190,Khi Gen Z dùng công nghệ lập trình nhịp sống số,"Gen Z không chỉ tiếp cận công nghệ mà còn thiết lập cách sống số của họ. Từ AI đến no-code, thế hệ này đang tạo ra những hệ sinh thái cá nhân tự động hóa.",Tuổi Trẻ,Công nghệ & Khoa học,1,0,0.265132252464473,0.734867747535527,FN,false_negative_high_confidence,High-confidence model error for qualitative analysis.,
