id,label,label_str,source,category,duplicate_group,heldout_source,split
article_0001,0,Non-clickbait,VnExpress,Tin tức tổng hợp,0,24h,train
article_0002,0,Non-clickbait,VnExpress,Tin tức tổng hợp,1,24h,train
article_0004,0,Non-clickbait,VnExpress,Tin tức tổng hợp,2,24h,train
article_0006,0,Non-clickbait,VnExpress,Tin tức tổng hợp,3,24h,train
article_0010,0,Non-clickbait,VnExpress,Tin tức tổng hợp,4,24h,train
article_0011,0,Non-clickbait,VnExpress,Tin tức tổng hợp,5,24h,train
article_0012,0,Non-clickbait,VnExpress,Tin tức tổng hợp,6,24h,train
article_0013,0,Non-clickbait,VnExpress,Tin tức tổng hợp,7,24h,train
article_0014,0,Non-clickbait,VnExpress,Tin tức tổng hợp,8,24h,train
article_0015,0,Non-clickbait,VnExpress,Tin tức tổng hợp,9,24h,train
article_0016,0,Non-clickbait,VnExpress,Tin tức tổng hợp,10,24h,train
article_0017,0,Non-clickbait,VnExpress,Tin tức tổng hợp,11,24h,train
article_0018,0,Non-clickbait,VnExpress,Tin tức tổng hợp,12,24h,train
article_0019,0,Non-clickbait,VnExpress,Tin tức tổng hợp,13,24h,train
article_0020,0,Non-clickbait,VnExpress,Tin tức tổng hợp,14,24h,train
article_0021,0,Non-clickbait,VnExpress,Tin tức tổng hợp,15,24h,train
article_0022,0,Non-clickbait,VnExpress,Tin tức tổng hợp,16,24h,train
article_0023,0,Non-clickbait,VnExpress,Tin tức tổng hợp,17,24h,train
article_0024,0,Non-clickbait,VnExpress,Tin tức tổng hợp,18,24h,train
article_0025,0,Non-clickbait,VnExpress,Tin tức tổng hợp,19,24h,train
article_0026,0,Non-clickbait,VnExpress,Tin tức tổng hợp,20,24h,train
article_0027,0,Non-clickbait,VnExpress,Tin tức tổng hợp,21,24h,train
article_0028,0,Non-clickbait,VnExpress,Tin tức tổng hợp,22,24h,train
article_0029,0,Non-clickbait,VnExpress,Tin tức tổng hợp,23,24h,train
article_0030,0,Non-clickbait,VnExpress,Tin tức tổng hợp,24,24h,train
article_0031,0,Non-clickbait,VnExpress,Tin tức tổng hợp,25,24h,train
article_0032,0,Non-clickbait,VnExpress,Tin tức tổng hợp,26,24h,train
article_0033,0,Non-clickbait,VnExpress,Tin tức tổng hợp,27,24h,train
article_0034,0,Non-clickbait,VnExpress,Tin tức tổng hợp,28,24h,train
article_0035,0,Non-clickbait,VnExpress,Tin tức tổng hợp,29,24h,train
article_0036,0,Non-clickbait,VnExpress,Tin tức tổng hợp,30,24h,train
article_0037,0,Non-clickbait,VnExpress,Tin tức tổng hợp,31,24h,train
article_0038,0,Non-clickbait,VnExpress,Tin tức tổng hợp,32,24h,train
article_0039,0,Non-clickbait,VnExpress,Tin tức tổng hợp,33,24h,train
article_0040,0,Non-clickbait,VnExpress,Tin tức tổng hợp,34,24h,train
article_0041,0,Non-clickbait,VnExpress,Tin tức tổng hợp,35,24h,train
article_0042,0,Non-clickbait,VnExpress,Tin tức tổng hợp,36,24h,train
article_0043,0,Non-clickbait,VnExpress,Tin tức tổng hợp,37,24h,train
article_0044,0,Non-clickbait,VnExpress,Tin tức tổng hợp,38,24h,train
article_0045,0,Non-clickbait,VnExpress,Tin tức tổng hợp,39,24h,train
article_0046,0,Non-clickbait,VnExpress,Tin tức tổng hợp,40,24h,train
article_0047,0,Non-clickbait,VnExpress,Tin tức tổng hợp,41,24h,train
article_0048,0,Non-clickbait,VnExpress,Tin tức tổng hợp,42,24h,train
article_0049,0,Non-clickbait,VnExpress,Tin tức tổng hợp,43,24h,train
article_0050,0,Non-clickbait,VnExpress,Tin tức tổng hợp,44,24h,train
article_0051,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,45,24h,train
article_0052,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,46,24h,train
article_0053,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,47,24h,train
article_0054,0,Non-clickbait,Tuổi Trẻ,Tin tức tổng hợp,48,24h,train
article_0055,0,Non-clickbait,Tuổi Trẻ,Other,49,24h,train
article_0056,0,Non-clickbait,Tuổi Trẻ,Du lịch & Ẩm thực,50,24h,train
