id,title,lead_paragraph,source,category,y_true,y_pred,y_score,confidence_in_prediction,error_type,suggested_priority,taxonomy_label,annotator_note,is_case_study_candidate
article_0346,Nước thải của Khu du lịch Thiên Cầm 'tra tấn' người dân,"Suốt nhiều tháng qua, người dân ở tổ dân phố Trần Phú (TT.Thiên Cầm, H.Cẩm Xuyên, Hà Tĩnh) bị 'tra tấn' bởi mùi hôi từ nước thải của Khu du lịch Thiên Cầm, gây ảnh hưởng đến cuộc sống.",Thanh Niên,Other,1,0,0.2493001553323934,0.7506998446676065,FN,1,FN_neutral_surface_form,"Tiêu đề có sắc thái gây chú ý qua từ 'tra tấn' nhưng vẫn giống tin phản ánh địa phương, nên model coi như non-clickbait.",0
article_1074,Mở lối ký ức bằng tư duy hôm nay - Báo Văn hóa,"Giữa những nếp nhà xưa cũ và khung cảnh bình dị của làng Lai Xá, nơi từng vang bóng với nghề ảnh truyền thống, có một bảo tàng nhỏ lặng lẽ kể câu chuyện làng nghề qua từng khung hình, từng hiện vật - như một lời nhắc nhở về giá trị của văn hóa và di sản. Thế nhưng, sau những năm tháng bị lãng quên, Bảo tàng Nhiếp ảnh Lai Xá đang đứng trước ngã rẽ: Tiếp tục im lìm hay được hồi sinh bởi bàn tay và trái tim của những người trẻ yêu văn hóa?",Báo Mới,Văn hóa & Nghệ thuật,1,0,0.2535976836040733,0.7464023163959267,FN,2,FN_domain_specific_clickbait,"Tiêu đề văn hóa có lối viết ẩn dụ và giàu chất chuyên đề, cue clickbait không giống các mẫu tin giật gân thông thường.",0
article_2245,"Đánh mẹ, tấn công lực lượng an ninh cơ sở khi được can ngăn","Cà MauBùi Minh Lợi, 30 tuổi, dùng dao đâm trọng thương tổ phó bảo vệ an ninh cơ sở thị trấn Nam Căn khi lực lượng này đến can ngăn anh ta đánh mẹ.",VnExpress,Other,1,0,0.2588374832959768,0.7411625167040232,FN,3,AMB_borderline_label,Tiêu đề nêu khá đầy đủ sự kiện phạm pháp nên ranh giới clickbait/non-clickbait không thật rõ.,0
article_3617,Liên danh Đèo Cả - Văn Phú đề xuất Hà Nội cho kiến tạo 'kỳ tích sông Hồng' - Báo Điện tử Tiếng nói Việt Nam,"Liên danh Đèo Cả - Văn Phú vừa được UBND TP. Hà Nội chấp thuận nghiên cứu đề xuất dự án 'Xây dựng Đại lộ và cảnh quan ven sông Hồng' theo phương thức đối tác đầu tư công – tư (PPP), hợp đồng xây dựng – chuyển giao (BT).",Báo Mới,Other,1,0,0.2620774783033665,0.7379225216966335,FN,4,FN_subtle_curiosity_gap,Cụm 'kỳ tích sông Hồng' tạo kỳ vọng/curiosity nhưng nằm trong bối cảnh dự án chính sách nên model bỏ sót.,0
article_1190,Khi Gen Z dùng công nghệ lập trình nhịp sống số,"Gen Z không chỉ tiếp cận công nghệ mà còn thiết lập cách sống số của họ. Từ AI đến no-code, thế hệ này đang tạo ra những hệ sinh thái cá nhân tự động hóa.",Tuổi Trẻ,Công nghệ & Khoa học,1,0,0.265132252464473,0.734867747535527,FN,5,FN_neutral_surface_form,"Tiêu đề giống một bài phân tích xu hướng công nghệ, bề mặt trung tính nên model không nhận ra nhãn clickbait.",0
article_0403,Kinh hoàng phát hiện bộ xương người trong bồn nước tại nhà dân,"Trong lúc sửa nhà, người thợ phát hiện bộ xương người trong bồn nước inox không sử dụng trên mái nhà một hộ dân ở TP Biên Hòa, Đồng Nai.",VietNamNet,Tin tức tổng hợp,1,0,0.2769949559636879,0.723005044036312,FN,6,FN_domain_specific_clickbait,Có từ gây sốc như 'Kinh hoàng' nhưng thuộc domain tai nạn/tội phạm vốn hay giống tin nóng chính thống.,0
article_3340,"Du khách quốc tế kể chuyện 'vượt nắng, ngâm đá' ở giải chạy Quy Nhơn","Du khách từ châu Âu, Mỹ... kể lại trải nghiệm chạy bộ dưới thời tiết nhiệt đới khi tham gia giải VnExpress Marathon Quy Nhơn 2025 hôm 15/6.",VnExpress,Other,1,0,0.2796403318018829,0.720359668198117,FN,7,FN_domain_specific_clickbait,"Cụm trích dẫn 'vượt nắng, ngâm đá' tạo màu sắc câu chuyện trải nghiệm nhưng nằm trong domain thể thao/sự kiện.",0
article_1022,Từ bờ vực phá sản đến đế chế streaming lớn nhất Nhật Bản cạnh tranh Netflix,"Yasuhide Uno – người từng đối mặt với món nợ khổng lồ và thất bại cay đắng – đã vực dậy công ty gia đình để biến U-Next thành đối thủ lớn nhất của Netflix tại Nhật Bản. Giờ đây, ông đặt mục tiêu doanh thu 1.000 tỷ yên và tham vọng đưa công ty thành biểu tượng quốc gia.",24h,Kinh doanh & Kinh tế,1,0,0.2873167104876968,0.7126832895123032,FN,8,FN_subtle_curiosity_gap,Cấu trúc 'Từ ... đến ...' tạo narrative hook nhưng không dùng từ khóa clickbait quá trực diện.,0
article_0237,Khởi động chiến dịch bảo vệ ngôi vương - Báo Văn hóa,HLV Kim Sang-sik vừa lên danh sách tập trung 35 cầu thủ trong đợt hội quân của đội tuyển U22 Việt Nam để chuẩn bị cho giải U23 vô địch Đông Nam Á. Đây là sân chơi chính thức đầu tiên trong năm 2025 của U22 Việt Nam trước khi đội hướng đến hai mục tiêu quan trọng khác là vòng loại U23 châu Á 2026 và môn bóng đá nam SEA Games 33.,Báo Mới,Thể thao,1,0,0.299342656033869,0.700657343966131,FN,9,FN_domain_specific_clickbait,"Ẩn dụ thể thao 'bảo vệ ngôi vương' là cue domain-specific, dễ bị model xem như tiêu đề thể thao bình thường.",0
article_0428,"Lại thêm vụ mất trắng 145 triệu đồng trong tài khoản: Bẫy cũ, nạn nhân mới","Sau một cuộc gọi bất thường, người đàn ông ở Hà Nội bị lừa 145 triệu đồng trong tài khoản.",SaoStar,Sức khỏe & Đời sống,1,0,0.3014895201005476,0.6985104798994524,FN,10,FN_subtle_curiosity_gap,"Cụm 'Bẫy cũ, nạn nhân mới' tạo curiosity gap về thủ đoạn lừa đảo nhưng model đánh giá thấp.",0
article_1250,Đại học Bách khoa Hà Nội phỏng vấn thí sinh 'tài năng’ những gì?,"450 thầy cô của Đại học Bách khoa Hà Nội đều là những người có kinh nghiệm học tập ở nước ngoài, từng tham gia các kỳ phỏng vấn học bổng du học, sẽ trực tiếp phỏng vấn 3.000 thí sinh diện tài năng.",VietNamNet,Giáo dục & Học đường,1,0,0.3035936493777633,0.6964063506222367,FN,11,FN_subtle_curiosity_gap,"Dạng câu hỏi 'những gì?' che giấu nội dung cụ thể của phỏng vấn, nhưng model vẫn dự đoán non-clickbait.",0
article_0960,Florian Wirtz: Ma thuật nước Đức chờ bay cao với Liverpool,"Florian Wirtz là một trong những cầu thủ xuất sắc nhất thế giới, sở hữu thứ bóng đá ma thuật và tự tin chinh phục vinh quang với Liverpool.",VietNamNet,Thể thao,1,0,0.3110642476490966,0.6889357523509034,FN,12,FN_domain_specific_clickbait,Lối viết thể thao giàu ẩn dụ như 'ma thuật' và 'bay cao' là cue clickbait theo domain bóng đá.,0
article_2846,Khi trung vệ Lý Đức mất kiểm soát,Tấm thẻ đỏ ngay trước khi V-League hạ màn là kỷ niệm buồn với trung vệ trẻ Phạm Lý Đức của HAGL.,Thanh Niên,Other,1,0,0.3192438477396895,0.6807561522603105,FN,13,FN_subtle_curiosity_gap,Cụm 'mất kiểm soát' tạo tò mò về diễn biến nhưng thiếu keyword mạnh nên model bỏ sót.,0
article_3648,Cảng cá 280 tỷ đồng sắp hoạt động nhưng luồng lạch bồi lắng,"Dự án cảng cá Cửa Nhượng (Hà Tĩnh) có mức đầu tư 280 tỷ đồng được đánh giá hiện đại bậc nhất miền Trung đã hoàn thiện, chuẩn bị đưa vào hoạt động song luồng lạch bồi lắng khiến ngư dân lo lắng khó vào, ra.",24h,Giải trí & Showbiz,1,0,0.3271110393855262,0.6728889606144738,FN,14,DATA_quality_issue,"Category là Giải trí & Showbiz nhưng nội dung là cảng cá/hạ tầng, cho thấy metadata có thể bị lệch.",1
article_2930,Hội An 2025: Khi phố cổ lên đèn và ký ức bừng sáng,"Trong sắc vàng rêu phong và ánh lồng đèn lấp lánh, phố cổ Hội An như một giấc mơ chậm rãi trôi qua từng mái ngói, từng nhịp cầu.",SaoStar,Du lịch & Ẩm thực,1,0,0.3431756775764129,0.6568243224235871,FN,15,AMB_borderline_label,Tiêu đề du lịch có văn phong giàu hình ảnh nhưng không chắc là clickbait; nhãn tương đối biên.,0
